type,value
observed,0
observed,0
observed,0
observed,0
observed,0
observed,0
observed,0
observed,0
observed,0
observed,0
observed,0
observed,0
observed,0
observed,0
observed,0
observed,0
observed,0
observed,0
observed,0
observed,0
observed,0
observed,0
observed,0
observed,0
observed,0
observed,0
observed,0
observed,0
observed,0
observed,0
observed,1
observed,1
observed,1
observed,1
observed,1
observed,1
observed,1
observed,1
observed,1
observed,1
observed,1
observed,1
observed,1
observed,1
observed,1
observed,1
observed,1
observed,1
observed,1
observed,1
expected,0
expected,0
expected,0
expected,0
expected,0
expected,0
expected,0
expected,0
expected,0
expected,0
expected,0
expected,0
expected,0
expected,0
expected,0
expected,0
expected,0
expected,0
expected,0
expected,0
expected,0
expected,0
expected,0
expected,0
expected,0
expected,1
expected,1
expected,1
expected,1
expected,1
expected,1
expected,1
expected,1
expected,1
expected,1
expected,1
expected,1
expected,1
expected,1
expected,1
expected,1
expected,1
expected,1
expected,1
expected,1
expected,1
expected,1
expected,1
expected,1
expected,1
observed,2
observed,2
observed,2
observed,2
observed,2
observed,2
observed,2
observed,2
observed,2
observed,2
observed,2
observed,2
observed,2
observed,2
observed,2
observed,2
observed,2
observed,2
observed,2
expected,2
expected,2
expected,2
expected,2
expected,2
expected,2
expected,2
expected,2
expected,2
expected,2
expected,2
expected,2
expected,2
expected,2
expected,2
expected,2
expected,2
expected,2
expected,2
expected,2
expected,2
expected,2
expected,2
expected,2
expected,2
