,data
0,-0.7536880650102857
1,-2.272158388978375
2,0.012278404192575032
3,-1.3619641593097827
4,-2.1002398548194536
5,-0.9017170364644902
6,-0.9728178217758203
7,-0.5568059456599033
8,-0.003580850710629524
9,-0.5485179083208976
10,-0.4931109377176531
11,0.17570374715755627
12,-1.0687306552907867
13,-0.31302775157878004
14,-0.35838202251886775
15,-1.685634441839485
16,-1.3258601356244553
17,-1.4639487758449672
18,-0.8051048235959196
19,-0.2020191815183984
20,-1.9689631834428416
21,-0.4688819441395351
22,0.019688290839775663
23,-1.1746879002338342
24,-1.1818762304587618
25,-0.6490461860140471
26,-0.7278848545383596
27,-1.552465059503194
28,-0.9075260457495257
29,-0.3347513613906904
30,-1.3470697120758082
31,-1.5981042081827599
32,-0.5648419409073175
33,-0.608087991945179
34,-0.45443935127252305
35,-0.35209000298396415
36,-0.5089166307569455
37,-0.29065397375394353
38,-1.448997580643937
39,-0.5771201542481762
40,-1.116765899441085
41,-1.1579062664460313
42,-0.8697152434484428
43,-0.10989203369128758
44,-0.7063525045491148
45,-0.07792079293377581
46,-1.5489720784910455
47,-0.6976672622878528
48,-1.1257825381518267
49,-0.3603014167210392
50,-0.682954196155371
51,-1.702737824978647
52,-0.32129071471160653
53,0.003060240794662876
54,-0.22746963233185585
55,-1.101882972290539
56,-1.8846692462002872
57,-1.6903254356219584
58,-0.8599488449077671
59,-0.8853933740702116
60,-1.2368183005937539
61,-0.8134635941735662
62,-0.0008627901020645257
63,-2.90240761859908
64,-0.06403725902353546
65,-0.6277236721722267
66,-1.4592121020616042
67,-0.14202020915037417
68,-0.33083207225624295
69,-0.6698683389813058
70,-0.07094074746388473
71,-0.6332137199380823
72,-0.18371223863459116
73,-0.5334305398927701
74,-1.0418301348088268
75,-0.3667457031612651
76,-1.2463143528793657
77,-0.7665033920412322
78,-0.19855077517365405
79,-0.9383845566255179
80,-0.43457699415961193
81,-1.7770499982352101
82,-0.8617361919435926
83,-1.5314181323379512
84,-0.7607558180439888
85,-1.0760361589990777
86,-1.4280813082664348
87,0.1375819689719266
88,-0.0022229568480101325
89,-0.7862570812020222
90,-0.39846160387970075
91,-1.3633896493295088
92,-0.9357042883180624
93,0.4447054600896975
94,-0.9059404107355724
95,-1.1709237103983225
96,-2.794232761008897
97,-1.585351780383354
98,-1.1408416191053452
99,-0.5540626732886149
100,-0.3387492952155853
101,-1.5597775313280295
102,-0.47612764200700175
103,-0.8581183668618813
104,-0.580678805270902
105,-1.0408044122316473
106,-2.724282389840913
107,-0.8419597227470519
108,-0.7498548367827349
109,-0.6254410181184007
110,-0.8018141237899143
111,-0.03597441325884054
112,0.2948426808588381
113,-0.35626641465632614
114,-0.09059570932541625
115,-0.8308635648427891
116,-0.603927125600587
117,-0.7326478917557149
118,0.24401245400285293
119,-1.3441782244705642
120,-0.59964799105563
121,-0.06794081815039735
122,-0.7457516532816638
123,0.0949703300527186
124,-1.2555447776732516
125,-0.3095146112220388
126,-1.3409395145656866
127,-0.7299904188027216
128,-0.5333015008381143
129,-0.9418840325167582
130,0.10625535056842607
131,-0.9043575105550832
132,-0.2831885376933226
133,-1.54725069202604
134,-0.7568408784203636
135,-0.41394373580904253
136,-0.49189948573254777
137,-1.189270328966688
138,-0.14730990526822466
139,-0.48192259795185965
140,-0.4006689395463396
141,0.21087170902014762
142,0.3796592312748759
143,-0.29595876704003304
144,-0.8628504610346203
145,-1.9756109562637216
146,-0.46882846855657345
147,-0.9487578868399443
148,-0.11339769275266051
149,-0.2615940931846532
150,-0.1876286209205082
151,0.0032860906018459812
152,-0.8556530048301381
153,-0.7342503359428282
154,-3.229218792271194
155,-1.184076484284597
156,-0.8957852485408441
157,-1.0245755988505818
158,0.10742131936677168
159,-1.0746694231938745
160,-0.4609041181805699
161,-0.36530066418936513
162,-0.09915119035362951
163,-3.0439671646673636
164,-0.3937181044269233
165,-0.7494523813149768
166,-1.448817920250932
167,0.2715724851932966
168,-0.1846170942041483
169,-0.8751040570633836
170,-0.3379336047698103
171,-0.25940673637858847
172,-0.9912359516145927
173,-0.549042915653533
174,-0.3959522152994526
175,-0.6423278739061156
176,-0.7007573889469431
177,-0.7921966871757221
178,-1.4883565198190316
179,-0.5536104894928735
180,-0.7910783803881298
181,-0.4833856564558836
182,-1.0666876134203747
183,-0.18464056456959183
184,0.04546378873255935
185,-0.28751264662830467
186,-1.363587671564325
187,0.02056578443553625
188,-0.8210065774381543
189,-0.5185042504334769
190,-0.6249101921714084
191,-1.957551990359382
192,-0.07514289913951935
193,-1.8859711317798102
194,-0.5837361358814099
195,-0.27674840423489405
196,-0.9021315956931104
197,0.35643061501771256
